Date,AAPL,AMZN,DIS,GOOGL,JPM,MSFT,NVDA,PG,TSLA,V,^GSPC
2019-01-02,37.66719055175781,76.95649719238281,106.34065246582031,52.48308563232422,82.91622924804688,95.11981964111328,3.377779006958008,77.99895477294922,20.674667358398438,127.27490234375,2510.030029296875
2019-01-03,33.91525650024414,75.01399993896484,103.76435089111328,51.02952575683594,81.73782348632812,91.62054443359375,3.173703670501709,77.45206451416016,20.02400016784668,122.68832397460938,2447.889892578125
2019-01-04,35.36307907104492,78.76950073242188,106.96519470214844,53.64701843261719,84.75114440917969,95.88175201416016,3.37703537940979,79.0329360961914,21.179332733154297,127.973876953125,2531.93994140625
2019-01-07,35.28435134887695,81.47550201416016,107.89228057861328,53.5400276184082,84.81005096435547,96.00403594970703,3.5558180809020996,78.71676635742188,22.33066749572754,130.281494140625,2549.68994140625
2019-01-08,35.95698547363281,82.8290023803711,108.73152923583984,54.010276794433594,84.65013122558594,96.70013427734375,3.467294692993164,79.00724792480469,22.356666564941406,130.99014282226562,2574.409912109375
2019-01-09,36.56760025024414,82.97100067138672,109.95136260986328,53.825164794921875,84.50704956054688,98.08291625976562,3.53548526763916,77.71697235107422,22.568666458129883,132.53179931640625,2584.9599609375
2019-01-10,36.68447494506836,82.81099700927734,110.07823181152344,53.684837341308594,84.49861145019531,97.45264434814453,3.601195812225342,77.90496826171875,22.99799919128418,132.78067016601562,2596.639892578125
2019-01-11,36.32430648803711,82.02799987792969,109.93184661865234,52.970252990722656,84.09459686279297,96.70013427734375,3.6904635429382324,78.41767120361328,23.150667190551758,132.19662475585938,2596.260009765625
2019-01-14,35.77809524536133,80.8604965209961,109.7073974609375,52.32533645629883,84.9615478515625,95.99462890625,3.7303853034973145,77.88787841796875,22.293333053588867,131.2773895263672,2582.610107421875
2019-01-15,36.51036071777344,83.72799682617188,109.06332397460938,54.06700897216797,85.58439636230469,98.77897644042969,3.7162511348724365,78.62274932861328,22.961999893188477,131.50718688964844,2610.300048828125
2019-01-16,36.95639419555664,84.18900299072266,108.23384094238281,54.21629333496094,86.27460479736328,99.12703704833984,3.690711259841919,78.07585906982422,23.06999969482422,131.50718688964844,2616.10009765625
2019-01-17,37.17583084106445,84.66100311279297,108.3314208984375,54.69450759887695,86.62812042236328,99.82315826416016,3.762125015258789,78.06465148925781,23.15399932861328,131.44972229003906,2635.9599609375
2019-01-18,37.404815673828125,84.80999755859375,108.3606948852539,55.1015625,88.0337905883789,101.31877899169922,3.8913140296936035,78.7364501953125,20.150667190551758,132.61795043945312,2670.7099609375
2019-01-22,36.56521224975586,81.6084976196289,107.93130493164062,53.67488098144531,86.64495086669922,99.40923309326172,3.6889750957489014,77.89241790771484,19.92799949645996,132.18704223632812,2632.89990234375
2019-01-23,36.71310806274414,82.0009994506836,108.43876647949219,53.9625129699707,86.42611694335938,100.37812042236328,3.701869010925293,81.68196105957031,19.172666549682617,131.19117736816406,2638.699951171875
2019-01-24,36.4221076965332,82.74649810791016,107.88253021240234,53.942108154296875,86.47663116455078,99.89838409423828,3.913879871368408,81.21688842773438,19.43400001525879,131.8518829345703,2642.330078125
2019-01-25,37.629024505615234,83.52850341796875,108.40948486328125,54.813438415527344,87.02372741699219,100.81083679199219,3.9711596965789795,80.61400604248047,19.80266761779785,132.78067016601562,2664.760009765625
2019-01-28,37.28078079223633,81.89450073242188,108.13624572753906,53.73609161376953,87.43616485595703,98.84485626220703,3.4221646785736084,80.54510498046875,19.7586669921875,130.21458435058594,2643.85009765625
2019-01-29,36.894371032714844,79.69400024414062,108.22407531738281,53.248416900634766,87.68025970458984,96.83182525634766,3.2632193565368652,80.56233215332031,19.83066749572754,129.26657104492188,2640.0
2019-01-30,39.41554260253906,83.52149963378906,107.47264862060547,54.63827896118164,87.88227081298828,100.06769561767578,3.4067907333374023,81.40634155273438,20.584667205810547,131.75616455078125,2681.050048828125
2019-01-31,39.69938659667969,85.9365005493164,108.82911682128906,56.02663803100586,87.11632537841797,98.23340606689453,3.5644965171813965,83.08580017089844,20.468000411987305,129.27615356445312,2704.10009765625
2019-02-01,39.71846008300781,81.3115005493164,108.61441802978516,55.66486740112305,87.43616485595703,96.68132019042969,3.588797092437744,83.94705963134766,20.81399917602539,134.1978302001953,2706.530029296875
2019-02-04,40.84666061401367,81.66549682617188,109.10235595703125,56.799442291259766,87.74760437011719,99.46566009521484,3.6991419792175293,84.42937469482422,20.859333038330078,135.49046325683594,2724.8701171875
2019-02-05,41.5455207824707,82.94049835205078,109.94160461425781,57.3194580078125,87.36041259765625,100.85784912109375,3.7182350158691406,83.92121887207031,21.42333221435547,136.4767608642578,2737.699951171875
2019-02-06,41.559837341308594,82.01300048828125,108.7217788696289,55.87735366821289,87.31832122802734,99.73845672607422,3.7938640117645264,84.33464813232422,21.148000717163086,135.4809112548828,2731.610107421875
2019-02-07,40.7727165222168,80.71849822998047,108.27286529541016,55.03239440917969,86.17359161376953,99.02357482910156,3.6554996967315674,83.6628646850586,20.500667572021484,134.21697998046875,2706.050048828125
2019-02-08,40.82063293457031,79.41100311279297,108.8193588256836,54.85673141479492,85.31507873535156,99.39981079101562,3.674098014831543,84.15377807617188,20.386667251586914,134.41810607910156,2707.8798828125
2019-02-11,40.585872650146484,79.55000305175781,106.79930114746094,54.84379196166992,84.91104888916016,99.00475311279297,3.6314480304718018,84.63607788085938,20.856000900268555,134.8202667236328,2709.800048828125
2019-02-12,40.935611724853516,81.90049743652344,106.5650863647461,56.110740661621094,86.35877990722656,100.54742431640625,3.7484867572784424,85.48871612548828,20.78733253479004,135.95973205566406,2744.72998046875
2019-02-13,40.76552963256836,82.0,107.54096221923828,56.162986755371094,86.7712173461914,100.47219848632812,3.790889263153076,85.47152709960938,20.544666290283203,137.39598083496094,2753.030029296875
2019-02-14,40.91405487060547,81.13249969482422,107.9898681640625,56.19135284423828,86.20726776123047,100.55683135986328,3.8318030834198,84.79971313476562,20.251333236694336,137.31927490234375,2745.72998046875
2019-02-15,40.823020935058594,80.39749908447266,109.873291015625,55.715126037597656,88.84180450439453,101.79853057861328,3.9014813899993896,84.81694030761719,20.525333404541016,138.99789428710938,2775.60009765625
2019-02-19,40.945194244384766,81.37899780273438,110.7710952758789,56.057491302490234,88.53038024902344,101.7514877319336,3.8841235637664795,86.11746215820312,20.375999450683594,138.5470428466797,2779.760009765625
2019-02-20,41.20868682861328,81.1050033569336,110.93700408935547,55.762901306152344,88.95966339111328,101.22245025634766,3.9314846992492676,85.50594329833984,20.17066764831543,138.82516479492188,2784.699951171875
2019-02-21,40.97632598876953,80.97200012207031,111.53227233886719,54.94779586791992,88.77448272705078,103.35745239257812,3.862550735473633,85.93659973144531,19.415332794189453,138.12501525878906,2774.8798828125
2019-02-22,41.43387222290039,81.5780029296875,112.46910858154297,55.56235885620117,88.3788833618164,104.8311538696289,3.947355031967163,86.34139251708984,19.6473331451416,139.918701171875,2792.669921875
2019-02-25,41.73568344116211,81.6500015258789,110.84916687011719,55.60067367553711,89.30474853515625,105.41683197021484,3.9349567890167236,85.7557144165039,19.917999267578125,140.10093688964844,2796.110107421875
2019-02-26,41.7596435546875,81.81999969482422,110.76133728027344,55.833560943603516,88.62295532226562,106.14425659179688,3.8955304622650146,85.97964477539062,19.857332229614258,141.04095458984375,2793.89990234375
2019-02-27,41.88899612426758,82.05449676513672,110.05870819091797,55.87735366821289,88.51355743408203,105.96476745605469,3.853623628616333,85.18730163574219,20.982667922973633,141.213623046875,2792.3798828125
2019-02-28,41.47698211669922,81.99150085449219,110.11725616455078,56.05948257446289,87.84017944335938,105.83250427246094,3.829049825668335,84.87724304199219,21.325332641601562,142.0768585205078,2784.489990234375
2019-03-01,41.9129524230957,83.58650207519531,111.25902557373047,57.15275192260742,87.89911651611328,106.30484008789062,3.8834104537963867,84.78250122070312,19.652666091918945,143.37179565429688,2803.68994140625
2019-03-04,42.123741149902344,84.80850219726562,111.5713119506836,57.39659118652344,87.69709014892578,106.04977416992188,3.8916015625,85.15284729003906,19.02400016784668,141.9234619140625,2792.81005859375
2019-03-05,42.04709243774414,84.62149810791016,111.24927520751953,58.181339263916016,87.62976837158203,105.52076721191406,3.885148525238037,85.34231567382812,18.43600082397461,141.91384887695312,2789.64990234375
2019-03-06,41.80515670776367,83.44750213623047,112.0787582397461,57.9698486328125,87.30149841308594,105.5679931640625,3.77419376373291,85.20450592041016,18.416000366210938,141.779541015625,2771.449951171875
